Author,Title,Content,Views
Federico García Lorca,Canção Tonta,"Mama.
Eu quero ser de prata.

Filho,
Terás muito frio.

Mama.
Eu quero ser de água.

Filho,
Terás muito frio.

Mama.
Borda-me em teu travesseiro.

Isso sim!
Agora mesmo!

",64324
Tobias Barreto,Por Que Volto?,"Por que volto? A razão é muito simples:
Não posso mais sofrer tamanho exílio,
Pois a vida bucólica e campestre
Só me agrada... nos versos de Virgílio.

1887


Publicado no livro Dias e Noites (1925). Poema integrante da série Parte I - Gerais e Naturalistas.

In: BARRETO, Tobias. Dias e noites. Org. Luiz Antonio Barreto. Introd. e notas Jackson da Silva Lima. 7.ed. rev. e aum. Rio de Janeiro: Record; Brasília: INL, 1989. p.128. (Obras completas",64092
Tobias Barreto,O Rei Reina e Não Governa,"Não sei porque a língua humana
Os brutos não falam mais,
Quando hoje têm melhor vida.
E há muita besta instruída
Nas ciências sociais...

Ultimamente entenderam
Que tinham também razão
De proclamar seus direitos,
Pondo em uso os bons efeitos
Que trouxe a Revolução...

""Seja o leão, diz o asno,
Um rei constitucional;
Com assembléias mudáveis,
Com ministros responsáveis,
Não nos pode fazer mal.

Fiquem-lhe as garras ocultas,
Não ruja, não erga a voz,
Conforme a tese moderna
Qu'ele reina e não governa,
Quem governa somos nós...

Todas as bestas da terra,
Todas as bestas do mar,
Tenham os seus delegados,
Sendo os ministros tirados
Do seio parlamentar...

(...)

Só vejo, que bem nos quadre
No trono, algum animal,
Que coma e viva deitado:
O porco!... Exemplo acabado
De rei constitucional...""

1870


Publicado no livro Dias e Noites (1881). Poema integrante da série Parte V - Satíricas.

In: BARRETO, Tobias. Dias e noites. Org. Luiz Antonio Barreto. Introd. e notas Jackson da Silva Lima. 7.ed. rev. e aum. Rio de Janeiro: Record; Brasília: INL, 1989. p.299-300. (Obras completas",64093
Manuel António Pina,Estarei Ainda Muito Perto Da Luz,"Estarei ainda muito perto da luz? Poderei esquecer estes rostos,estas vozes, e ficar diante do meu rosto? Às vezes,como num sonho, vejo formas como um rosto e pergunto:""De quem é este rosto?"" E ainda:""Quem pergunta isto?"" E:""E com quem fala?"" Estarei ainda longe de Ti, quem quer que sejas ou eu seja? Cresce a noite à minha volta, terei palavras para falar-Te? E compreenderás Tu este, não sei qual de nós,que procura a Tua face entre as sombras? Quando eu me calar sabei que estarei diante de uma coisa imensa. E que esta é a minha voz, o que no fundo de isto se escuta.",125175
Raul de Carvalho,Guio-me,"Guio-me
Por teus olhos abertos
Sobre a trêmula e ardente
Superfície das lágrimas.

De tantas coisas
É feito o Mundo!

Entre escombros, espigas, dias e noites
Procuram os homens ansiosamente
O ramo de louro.

Quando, fatigados,
Próximos estão do limiar, do pórtico,
Os homens deixam, à entrada,
Suas mais queridas coisas.

E ei-los que apenas se incomodam,
E se interrogam,
Sobre o modo mais simples
De se despir e adormecer.

",46562
Federico García Lorca,Pequeño Poema Infinito,"Para Luis Cardoza y Aragón

Equivocar
el camino
es llegar a la nieve
y llegar a la nieve
es pacer durante veinte siglos las hierbas de los cementerios.
Equivocar
el camino
es llegar a la mujer,
la mujer que no teme la luz,
la mujer que mata dos gallos en un segundo,
y luz que no teme a los gallos
y los gallos que no saben cantar sobre la nieve.
Pero si la
nieve se equivoca de corazón
puede llegar el viento Austro
y como el aire no hace caso de los gemidos
tendremos que pacer otra vez las hierbas de los cementerios.
Yo vi dos
dolorosas espigas de cera
que enterraban un paisaje de volcanes
y vi dos niños locos que empujaban llorando las pupilas de un asesino.

Pero el dos
no ha sido nunca un número
porque es una angustia y su sombra,
porque es la guitarra donde el amor se desespera,
porque es la demostración de otro infinito que no es suyo
y es las murallas del muerto
y el castigo de la nueva resurrección sin finales.
Los muertos odian el número dos,
pero el número dos adormece a las mujeres
y como la mujer teme la luz
la luz tiembla delante de los gallos
y los gallos sólo saben volar sobre la nieve
tendremos que pacer sin descanso las hierbas de los cementerios
10 de enero
de 1930. Nueva York

",64325
Alda do Espírito Santo,Onde estão os homens caçados neste vento de loucura,"O sangue caindo em gotas na terra
homens morrendo no mato
e o sangue caindo, caindo...
Fernão Dias para sempre na história
da Ilha Verde, rubra de sangue,
dos homens tombados
na arena imensa do cais.
Aí o cais, o sangue, os homens,
os grilhões, os golpes das pancadas
a soarem, a soarem, a soarem
caindo no silêncio das vidas tombadas
dos gritos, dos uivos de dor
dos homens que não são homens,
na mão dos verdugos sem nome.
Zé Mulato, na história do cais
baleando homens no silêncio
do tombar dos corpos.
Aí, Zé Mulato, Zé Mulato.
As vítimas clamam vingança
O mar, o mar de Fernão Dias
engolindo vidas humanas
está rubro de sangue.
- Nós estamos de pé -
Nossos olhos se viram para ti.
Nossas vidas enterradas
nos campos da morte,
os homens do cinco de Fevereiro
os homens caídos na estufa da morte
clamando piedade
gritando p'la vida,
mortos sem ar e sem água
levantam-se todos
da vala comum
e de pé no coro de justiça
clamam vingança...
        ... Os corpos tombados no mato,
as casas, as casas dos homens
destruídas na voragem
do fogo incendiário,
as vias queimadas,
erguem o coro insólito de justiça
clamando vingança.
E vós todos carrascos
e vós todos algozes
sentados nos bancos dos réus:
- Que fizeste do meu povo?...
- Que respondeis?
- Onde está o meu povo?...
E eu respondo no silêncio
das vozes erguidas
clamando justiça...
Um a um, todos em fila...
Para vós, carrascos,
o perdão não tem nome.
A justiça vai soar,
E o sangue das vidas caídas
nos matos da morte
ensopando a terra
num silêncio de arrepios
vai fecundar a terra,
clamando justiça.
É a chamada da humanidade
cantando a esperança
num mundo sem peias
onde a liberdade
é a pátria dos homens...",9668
David Mourão-Ferreira,Presídio,"Nem todo o corpo é de carne...Não ,nem todo.

Que dizer do pescoço,às vezes mármore,

às linho,lago,tronco de árvore,

nuvem,ou ave,ao tacto sempre pouco...?

e o ventre,incosistente como o lodo?...

e o morno gradeamnento dos teus baraços?

Não ,meu amor...Nem todo o corpo é carne:

é também água ,terra,vento,fogo..

É sobretudo sombra à despedida;

onda de pedra em cada reencontro;

no parque da memária o fugidio

vulto da Primavera em pleno Outono...

Nem só de carne é feito este presídio,

pois no teu corpo existe o mundo todo!

",188982
Jorge de Sena,Tendo lido uma carta,"Tendo lido uma carta acerca de um seu livro de poemas ,que oferecera

Por que entristeço ao ler o que de meus
versos escrevem,se não é de mim
que escrevem?
Será que chora em mim o que meus versos foram
antes de ser meus?
Por que pergunto,se já sei por quê?
Escuto longamente,leio,espero,
e o poema é voz de toda a gente,todos eles,que,
não se tendo ouvido,não a sabem sua.
E vêm chorar em mim o coração traído,
a música perdida em distracções urgentes,
uma palavras que ninguém falou.
Não entristeço,pois.Apenas sou pergunta,
e,sendo eu,me esqueço ao perguntar.

de Post-Scriptum(1960)

",174985
Gregório de Matos,No Fluxo e Refluxo das Marés Encontra o Poeta Incentivo para Recordar Seus Males,"Seis horas enche e outras tantas vaza
A maré pelas margens do Oceano,
E não larga a tarefa um ponto no ano,
Depois que o mar rodeia, o sol abrasa.

Desde a esfera primeira opaca, ou rasa
A Lua com impulso soberano
Engole o mar por um secreto cano,
E quando o mar vomita, o mundo arrasa.

Muda-se o tempo, e suas temperanças.
Até o céu se muda, a terra, os mares,
E tudo está sujeito a mil mudanças.

Só eu, que todo o fim de meus pesares
Eram de algum minguante as esperanças,
Nunca o minguante vi de meus azares.


In: MATOS, Gregório de. Obra poética. Org. James Amado. Prep. e notas Emanuel Araújo. Apres. Jorge Amado. 3.ed. Rio de Janeiro: Record, 1992",87921
Camilo Pessanha,Crepuscular,"Há no ambiente um murmúrio de queixume,
De desejos de amor, dais comprimidos...
Uma ternura esparsa de balidos,
Sente-se esmorecer como um perfume.

As madressilvas murcham nos silvados
E o aroma que exalam pelo espaço,
Tem delíquios de gozo e de cansaço,
Nervosos, femininos, delicados.

Sentem-se espasmos, agonias dave,
Inapreensíveis, mínimas, serenas...
--- Tenho entre as mãos as tuas mãos pequenas,
O meu olhar no teu olhar suave.

As tuas mãos tão brancas danemia...
Os teus olhos tão meigos de tristeza...
--- É este enlanguescer da natureza,
Este vago sofrer do fim do dia.

",91660
David Mourão-Ferreira,Canção amarga,"Que importa o gesto não ser bem
o gesto grácil que terias?
--- Importa amar, sem ver a quem...
Ser mau ou bom, conforme os dias.

Agora, tu só entrevista,
quantas imagens me trouxeste!
Mas é preciso que eu resista
e não acorde um sonho agreste.

Que passes tu! Por mim, bem sei
que hei-de aceitar o que vier,
pois tarde ou cedo deverei
de sonho e pasmo apodrecer.

Que importa o gesto não ser bem
o gesto grácil que terias?
--- Importa amar, sem ver a quem...
Ser infeliz, todos os dias!

",188983
Inácio José de Alvarenga Peixoto,"Eu vi a linda Jônia e, namorado","Eu vi a linda Jônia e, namorado,
fiz logo voto eterno de querê-la;
mas vi depois a Nise, e é tão bela,
que merece igualmente o meu cuidado.

A qual escolherei, se, neste estado,
eu não sei distinguir esta daquela?
Se Nise agora vir, morro por ela,
se Jônia vir aqui, vivo abrasado.

Mas ah! que esta me despreza, amante,
pois sabe que estou preso em outros braços,
e aquela me não quer, por inconstante.

Vem, Cupido, soltar-me destes laços:
ou faze destes dois um só semblante,
ou divide o meu peito em dois pedaços!


In: LAPA, M. Rodrigues. Vida e obra de Alvarenga Peixoto. Rio de Janeiro: INL, 1960",67455
David Mourão-Ferreira,"Natal, e não Dezembro","Entremos, apressados, friorentos,
numa gruta, no bojo de um navio,
num presépio, num prédio, num presídio
no prédio que amanhã for demolido...
Entremos, inseguros, mas entremos.
Entremos e depressa, em qualquer sítio,
porque esta noite chama-se Dezembro,
porque sofremos, porque temos frio.

Entremos, dois a dois: somos duzentos,
duzentos mil, doze milhões de nada.
Procuremos o rastro de uma casa,
a cave, a gruta, o sulco de uma nave...
Entremos, despojados, mas entremos.
De mãos dadas talvez o fogo nasça,
talvez seja Natal e não Dezembro,
talvez universal a consoada.

",188987
Casimiro de Abreu,Saudades,"Nas horas mortas da noite
Como é doce o meditar
Quando as estrelas cintilam
Nas ondas quietas do mar;
Quando a lua majestosa
Surgindo linda e formosa,
Como donzela vaidosa
Nas águas se vai mirar!

Nessas horas de silêncio,
De tristezas e de amor,
Eu gosto de ouvir ao longe,
Cheio de mágoa e de dor,
O sino do campanário
Que fala tão solitário
Com esse som mortuário
Que nos enche de pavor.

Então — proscrito e sozinho —
Eu solto aos ecos da serra
Suspiros dessa saudade
Que no meu peito se encerra.
Esses prantos de amargores
São prantos cheios de dores:
— Saudades — dos meus amores,
— Saudades — da minha terra!

1856


Publicado no livro As primaveras (1859). Poema integrante da série Livro I.

In: GRANDES poetas românticos do Brasil. Pref. e notas biogr. Antônio Soares Amora. Introd. Frederico José da Silva Ramos. São Paulo: LEP, 1959. v.1",101428
Chacal,Ponto de bala,"os mortos tecem considerações
os tortos cozem quietos
as crianças brincam
e bordam desconsiderações

",132314
Silva Alvarenga,"Madrigal LIII [Tu és no campo, ó Rosa","Tu és no campo, ó Rosa,
A flor de mais beleza
De quantas produziu a Natureza
Que em tuas perfeições foi cuidadosa.
E se Glaura formosa
No seio dos prazeres te procura,
Qual outra flor será de mais ventura,
Ou mais digna de amor ou mais mimosa?
Tu és no campo, ó Rosa,
A flor de mais ventura e mais beleza
De quantas produziu a Natureza.


Publicado no livro Glaura: poemas eróticos de Manuel Inácio da Silva Alvarenga, bacharel pela Universidade de Coimbra e professor de retórica no Rio de Janeiro. Na Arcádia, Alcindo Palmireno (1799).

In: ALVARENGA, Silva. Glaura: poemas eróticos. Pref. Afonso Arinos de Melo Franco. Rio de Janeiro: Imprensa Nacional, 1943. (Biblioteca popular brasileira, 16",54511
David Mourão-Ferreira,Nocturno,"Eram, na rua, passos de mulher.
Era o meu coração que os soletrava.
Era, na jarra, além do malmequer,
espectral o espinho de uma rosa brava...

Era, no copo, além do gim, o gelo;
além do gelo, a roda de limão...
Era a mão de ninguém no meu cabelo.
Era a noite mais quente deste verão.

Era no gira-discos, o Martirio
de São Sebastião, de Debussy....
Era, na jarra, de repente, um lirio!
Era a certeza de ficar sem ti.

Era o ladrar dos cães na vizinhança.
Era, na sombra, um choro de criança...

",188984
Maria Teresa Horta,Gozo X,"São de alumínio
os flancos
e de feltro a língua

de felpa ou seda
a abertura incerta
que cede breve a humidade
esguia
presa no quente do interior
da pedra

Ou musgo doce
de haste sempre dura
de onde pendem seus dois mansos frutos
que a boca aflora e os dentes prendem
a tatear-lhes
o hálito e o suco

",157248
Jorge de Sena,Panfleto,"Fere-me esta idolatria mais do que todos os crimes:
Tanto fervor desviado e perdido!
Tanta gente ajoelhando à passagem do tempo
e tão poucos lutando para lhe abrir caminho!

Há uma vida inteira a jogar e gastar
no pano verde imenso das campinas do mundo.
Há desertos cativos de uma ausência dos povos.
Há uma guerra devastando a vida,
enquanto a supuserem redimida!

E em nós a redenção quase perdida!...

Vamos rasgar, ó poetas, esta mentira da alma,
vamos gritar aos homens que os enganam,
que não é a força, que não é a glória,
que não é o sol nem a lua nem as estrelas,
nem os lares nem os filhos, nem os mares floridos,
nem o prazer nem a dor nem a amizade,
nem o indivíduo só compreendendo as causas,
nem os livros nem os poemas, nem as audácias heróicas,
— a redenção sou eu, se formos nós sem forma,
sem liberdade ou corpo, sem programas ou escolas!

Aqui está a redenção. Tomai-a toda.
E se é verdade a fome,
se é verdade o abismo,
se é verdade o pensamento úmido
que pestaneja ansioso nos cortejos públicos,
se são verdade as redenções que mentem:

Matem essa gente para salvar a Vida!
E matem-me com elas para que as queime ainda!

",174986
Ary dos Santos,Ecce Homo,"Desbaratamos deuses, procurando
Um que nos satisfaça ou justifique.
Desbaratamos esperança, imaginando
Uma causa maior que nos explique.

Pensando nos secamos e perdemos
Esta força selvagem e secreta,
Esta semente agreste que trazemos
E gera heróis e homens e poetas.

Pois Deuses somos nós. Deuses do fogo
Malhando-nos a carne, até que em brasa
Nossos sexos furiosos se confundam,

Nossos corpos pensantes se entrelacem
E sangue, raiva, desespero ou asa,
Os filhos que tivermos forem nossos.

",135530
Stéphane Mallarmé,PROSA,"Hipérbole! desta memória
    Triunfalmente não tens tido
    Como erguer-te, hoje obscura história
    Em livro de ferro vestido:

    Pois instalo, pela ciência,
    O hino de almas espirituais
    Na obra de minha paciência,
    Atlas, herbários e rituais.

    Passeávamos nosso semblante
    ( Éramos dois, posso afirmar)
    Nos encantos da cena adiante,
    Ó irmã, para os teus reafirmar.

    Turva-se a era de autoridade
    Quando, sem motivo, se fala
    Desse sul que a duplicidade
    De nossa inconsciência assinala

    Que, chão multíris, seu lugar,
    Se existiu o deverão
    Saber, não traz nome que ecoar
    O ouro da trompa de Verão.

    Sim, em uma ilha que o ar
    Enche não de visões mas vista
    Toda flor se abria invulgar
    Sem em conversa ser revista.

    Tais, imensas, que oportuna
    Cada uma se preparou
    Com lúcido entorno, lacuna
    Que dos jardins a separou.

    Idéias, glória do desejo,
    Tudo em mim se exaltou de ver
    As irídeas em cortejo
    Surgir para o novo dever,

    Mas seu olhar, terna e tranqüila,
    Não o levou esta irmã
    Além do sorriso e, a ouvi-la,
    Cuido de meu antigo afã.

    Oh! o Espírito de porfia
    Saiba, quando estamos silentes,
    Que a haste de mil lírios crescia
    Por demais para nossas mentes

    E não como a margem chora,
    Se o jogo monótono mente
    E quer a amplitude afora
    Neste meu susto viridente

    De ouvir todo o céu e a carta
    Firmados em meus passos mil
    Vezes, pela onda que se aparta,
    Que esse país não existiu.

    A criança do êxtase abdica
    E douta já pelos caminhos
    - Anastásio, é o que ela indica,
    Criado p'ra eternos pergaminhos,

    Antes de um túmulo rir em
    Qualquer clima, seu antepassado,
    Do nome - Pulquéria! - que tem,
    Pelo alto gladíolo ocultado.


",52389
Basílio da Gama,Canto Quarto,"(...) Não faltava,
Para se dar princípio à estranha festa,
Mais que Lindóia. Há muito lhe preparam
Todas de brancas penas revestidas
Festões de flores as gentis donzelas.
Cansados de esperar, ao seu retiro
Vão muitos impacientes a buscá-la.
Estes de crespa Tanajura aprendem
Que entrara no jardim triste, e chorosa,
Sem consentir que alguém a acompanhasse.
Um frio susto corre pelas veias
De Caitutu, que deixa os seus no campo;
E a irmã por entre as sombras do arvoredo
Busca co'a vista, e teme de encontrá-la.
Entram enfim na mais remota, e interna
Parte de antigo bosque, escuro, e negro,
Onde ao pé de uma lapa cavernosa
Cobre uma rouca fonte, que murmura,
Curva latada de jasmins, e rosas.
Este lugar delicioso, e triste,
Cansada de viver, tinha escolhido
Para morrer a mísera Lindóia.
Lá reclinada, como que dormia,
Na branda relva, e nas mimosas flores,
Tinha a face na mão, e a mão no tronco
De um fúnebre cipreste, que espalhava
Melancólica sombra. Mais de perto
Descobrem que se enrola no seu corpo
Verde serpente, e lhe passeia, e cinge
Pescoço, e braços, e lhe lambe o seio.
Fogem de a ver assim sobressaltados,
E param cheios de temor ao longe;
E nem se atrevem a chamá-la, e temem
Que desperte assustada, e irrite o monstro,
E fuja, e apresse no fugir a morte.
Porém o destro Caitutu, que treme
Do perigo da irmã, sem mais demora
Dobrou as pontas do arco, e quis três vezes
Soltar o tiro, e vacilou três vezes
Entre a ira, e o temor. Enfim sacode
O arco, e faz voar a aguda seta,
Que toca o peito de Lindóia, e fere
A serpente na testa, e a boca, e os dentes
Deixou cravados no vizinho tronco.
Açouta o campo co'a ligeira cauda
O irado monstro, e em tortuosos giros
Se enrosca no cipreste, e verte envolto
Em negro sangue o lívido veneno.
Leva nos braços a infeliz Lindóia
O desgraçado irmão, que ao despertá-la
Conhece, com que dor! no frio rosto
Os sinais do veneno, e vê ferido
Pelo dente sutil o brando peito.
Os olhos, em que Amor reinava, um dia,
Cheios de morte; e muda aquela língua,
Que ao surdo vento, e aos ecos tantas vezes
Contou a larga história de seus males.
Nos olhos Caitutu não sofre o pranto,
E rompe em profundíssimos suspiros
Lendo na testa da fronteira gruta
De sua mão já trêmula gravado
O alheio crime, e a voluntária morte.
E por todas as partes repetido
O suspirado nome de Cacambo.
Inda conserva o pálido semblante
Um não sei quê de magoado, e triste,
Que os corações mais duros enternece.
Tanto era bela no seu rosto a morte!
(...)

Imagem - 00200004


In: GAMA, Basílio da. O Uraguai. Anot. Afrânio Peixoto, Rodolfo Garcia e Osvaldo Braga. Rio de Janeiro: Academia Brasileira de Letras, 1941

NOTA: Poema composto de 5 canto",55809
David Mourão-Ferreira,Romance de Dubrovnik,"São estas casas de cinza
De cinza petrificada
É como se aqui a vida
tivesse jogado às cartas
e só a morte saíra
ganhando em cada jogada
É esta rua comprida
mas que se chama Platza
(embora em eslava grafia
se escreva apenas Placa)
e que na Ragusa antiga
já dois mundos separava
De um lado terra latina
e do outro terra bárbara
São as verdes gelosias
são as muralhas douradas
a segredarem que a vida
se inda quisesse ganhava
É agora ao meio-dia
a Porta Pile empilhada
E são cachos de turistas
trepando pelas muralhas
tirando fotografias
contudo não vendo nada
São fileiras de boutiques
São cafés sob as arcadas
É tudo a fingir que a vida
não se dá por derrotada
É no porto a maresia
quando mais avança a tarde
incrustada em cada esquina
suspensa de cada iate
Mas das naves bizantinas
é que ela sente saudades
e das galeras esguias
que Veneza lhe enviava
se bem que tal nostalgia
inda hoje a sobressalte
Nenhum sabor tem a vida
se a morte a não acicata
E são argolas vazias
as que há no porto à entrada
e de onde outrora pendiam
correntes sempre de guarda
Quem aliás adivinha
as marítimas estradas
que deste porto saíam
que neste nó se cruzavam
Com certeza agora vivem
na tinta azul de outros mapas
Ou permanecem cativas
Ou ficaram bloqueadas
São em redor tantas ilhas
tanta rocha tanta escarpa
tantas flutuantes ravinas
Mas quando a noite se abate
não são mais do que faíscas
no mar de prata lavrada
E já a Lua surgia
na sua rica dalmática
Nem mais a preceito vinha
do que no céu da Dalmácia
Será que o fulgor da vida
vem da morte iluminada
Subo ao monte Zarkovica
(Na língua serbo-croata
deve ler-se Djarkovitza)
e à sombra desta latada
bebo um copo de mastika
olho de novo a cidade
Ó memória empedernida
de uma divina morada
Ó ferradura de cinza
de algum cavalo com asas
Ó mediterrânea figa
mais propriamente adriática
que foi feita por Posídon
e no litoral deixada
O que a morte à vida ensina
através dos deuses passa
Mas não é só nas ruínas
que fica a sua pegada

",188985
Gilka Machado,Ser mulher,"Ser mulher, vir à luz trazendo a alma talhada
para os gozos da vida, a liberdade e o amor,
tentar da glória a etérea e altívola escalada,
na eterna aspiração de um sonho superior...

Ser mulher, desejar outra alma pura e alada
para poder, com ela, o infinito transpor,
sentir a vida triste, insípida, isolada,
buscar um companheiro e encontrar um Senhor...

Ser mulher, calcular todo o infinito curto
para a larga expansão do desejado surto,
no ascenso espiritual aos perfeitos ideais...

Ser mulher, e oh! atroz, tantálica tristeza!
ficar na vida qual uma águia inerte, presa
nos pesados grilhões dos preceitos sociais!



",38977
Reinaldo Ferreira,Passos furtivos na escada,"Passos furtivos na escada
Da minha imaginação.
Sabendo-os frutos de nada
São reais como os que são.

Basta que os oiça e provocam
A minha insónia de assalto.
Se fujo, seguem-me, voam
Se grito, gritam mais alto.

Por favor, bom senso  Não!
É a resposta que eu não posso.
De que me serve a razão
Se não existe o que eu ouço?

",132036
Ruy Cinatti,Quando Eu Partir,"Quando eu partir, quando eu partir de novo
A alma e o corpo unidos,
Num último e derradeiro esforço de criação;
Quando eu partir...
Como se um outro ser nascesse
De uma crisália prestes a morrer sobre um muro estéril,
E sem que o milagre se abrisse
As janelas da vida. . .
Então pertencer-me-ei.
Na minha solidão, as minhas lágrimas
Hão de ter o gosto dos horizontes sonhados na adolescência,
E eu serei o senhor da minha própria liberdade.
Nada ficará no lugar que eu ocupei.
O último adeus virá daquelas mãos abertas
Que hão de abençoar um mundo renegado
No silêncio de uma noite em que um navio
Me levará para sempre.
Mas ali
Hei de habitar no coração de certos que me amaram;
Ali hei de ser eu como eles próprios me sonharam;
Irremediavelmente...
Para sempre.

",25595
Cruz e Sousa,Carnal e Místico,"Pelas regiões tenuíssimas da bruma
vagam as Virgens e as Estrelas raras...
Como que o leve aroma das searas
todo o horizonte em derredor perfuma.

Numa evaporação de branca espuma
vão diluindo as perspectivas claras...
Com brilhos crus e fúlgidos de tiaras
as Estrelas apagam-se uma a uma.

E então, na treva, em místicas dormências,
desfila, com sidéreas latescências,
das Virgens o sonâmbulo cortejo...

Ó Formas vagas, nebulosidades!
Essência das eternas virgindades!
Ó intensas quimeras do Desejo...


Publicado no livro Broquéis (1893).

In: SOUSA, Cruz e. Poesia completa. Introd. Maria Helena Camargo Régis. Florianópolis: Fundação Catarinense de Cultura, 198",115501
Martha Medeiros,Puxei a manga da camisa,"puxei a manga da camisa um pouco pra cima
perto do cotovelo, e abri o botão calmamente
como se fizesse isso todo dia na tua frente
não te olhei como amiga nem professora
e não liguei para a pouca idade que tinhas
eu era mais madura e você mais coerente
tinha certeza de tudo mas não se mexia
passei a mão no teu cabelo
te beijei na testa, no queixo
beijei tua nuca e tua boca
e fui a primeira mulher nua da tua vida

",65895
Gregório de Matos,Anjo Bento,"Destes que campam no mundo
Sem ter engenho profundo
E, entre gabos dos amigos,
Os vemos em papafigos
Sem tempestade, nem vento:

Anjo Bento!

De quem com letras secretas
Tudo o que alcança é por tretas,
Baculejando sem pejo,
Por matar o seu desejo,
Desde a manhã té à tarde:

Deus me guarde!

Do que passeia farfante,
Muito prezado de amante,
Por fora luvas, galões,
Insígnias, armas, bastões,
Por dentro pão bolorento:

Anjo Bento!

Destes beatos fingidos,
Cabisbaixos, encolhidos,
Por dentro fatais maganos,
Sendo nas caras uns Janos:
Que fazem do vício alarde:

Deus me guarde!

Que vejamos teso andar
Quem mal sabe engatinhar,
Muito inteiro e presumido,
Ficando o outro abatido
Com maior merecimento:

Anjo Bento!

Destes avaros mofinos,
Que põem na mesa pepinos,
De toda a iguaria isenta,
Com seu limão e pimenta,
Porque diz que o queima e arde:

Deus me guarde!

",87922
Maria Teresa Horta,Gozo VIII,"Em cada canal
a sua veia

o veio que entumesce
no fundo da sua teia

Em cada vento
o seu peixe
no tempo que a água tenha

sedosa na sua sede
viciosa em sua esteira

Da seda
o tacto e o suco
dos lábios à sua beira

como se fosse um beiral
do corpo
pra língua inteira

ou o lugar para guardar
o punhal
que se queira

Em cada punho
o seu ócio

um cinzel
de lisura

com a doçura do pranto
da prata e bronze
a secura

O travesseiro não apoia
as pernas já afastadas
mas ajusta as ancas dadas

Escalada
que se empreende na pele das tuas nádegas

Em cada corpo há o tempo
no gozo da sua adaga

Mas só no teu há o espasmo
com que o teu pénis
me alaga

",157249
Maria Teresa Horta,Gozo VII,"São as tuas nádegas
na curva dos meus dedos

as tuas pernas
atentas e curvadas

O cravo – o crivo
sabor da madrugada
no manso odor do mar das tuas
espáduas

E se soergo com as mãos
as tuas coxas
e acerto o corpo no calor
das vagas

logo me vergas

e és tu então
que tens os dedos
agora
em minha nádegas

",157250
David Mourão-Ferreira,Grito,"Cedros, abetos,
pinheiros novos.
O que há no tecto
do céu deserto,
além do grito?
Tudo que e nosso.

São os teus olhos
desmesurados,
lagos enormes,
mas concentrados
nos meus sentidos.
Tudo o que é nosso
é excessivo.

E a minha boca,
de tão rasgada,
corre-te o corpo
de pólo a pólo,
desfaz-te o colo
de espádua a espádua,
são os teus olhos,
depois o grito.

Cedros, abetos,
pinheiros novos.
É o regresso.
É no silêncio
de outro extremo
desta cidade
a tua casa.
É no teu quarto
de novo o grito.

E mais nocturna
do que nunca
a envergadura
das nossas asas.
Punhal de vento,
rosa de espuma:
morre o desejo,
nasce a ternura.
Mas que silêncio
na tua casa.

",188986
Castro Alves,América,"Acorda a pátria e vê que é pesadelo
O sonho da ignomínia que ela sonha!
Tomás Ribeiro
À Tépida sombra das matas gigantes,
Da América ardente nos pampas do Sul,
Ao canto dos ventos nas palmas brilhantes,
À luz transparente de um céu todo azul,

A filha das matas — cabocla morena —
Se inclina indolente sonhando talvez!
A fronte nos Andes reclina serena.
E o Atlântico humilde se estende a seus pés.

As brisas dos cerros ainda lhe ondulam
Nas plumas vermelhas do arco de avós,
Lembrando o passado seus seios pululam,
Se a onça ligeira boliu nos cipós.

São vagas lembranças de um tempo que teve!...
Palpita-lhe o seio por sob uma cruz.
E em cisma doirada — qual garça de neve —
Sua alma revolve-se em ondas de luz.

Embalam-lhe os sonhos, na tarde saudosa,
Os cheiros agrestes do vasto sertão,
E a triste araponga que geme chorosa
E a voz dos tropeiros em terna canção.

Se o gênio da noite no espaço flutua
Que negros mistérios a selva contém!
Se a ilha de prata, se a pálida lua
Clareia o levante, que amores não tem!

Parece que os astros são anjos pendidos
Das frouxas neblinas da abóbada azul,
Que miram, que adoram ardentes, perdidos,
A filha morena dos pampas do Sul.

Se aponta a alvorada por entre as cascatas,
Que estrelas no orvalho que a noite verteu!
As flores são aves que pousam nas matas,
As aves são flores que voam no céu!

......................................................................

Ó pátria, desperta... Não curves a fronte
Que enxuga-te os prantos o Sol do Equador.
Não miras na fímbria do vasto horizonte
A luz da alvorada de um dia melhor?

Já falta bem pouco.  Sacode a cadeia
Que chamam riquezas... que nódoas te são!
Não manches a folha de tua epopéia
No sangue do escravo, no imundo balcão.

Sê pobre, que importa?  Sê livre... és gigante,
Bem como os condores dos píncaros teus!
Arranca este peso das costas do Atlante,
Levanta o madeiro dos ombros de Deus.

",304122
Érico Veríssimo,Haicai,"Serviço Consular

Com cartas brancas,
senhor cônsul solta
Pombos de papel.

Gota de orvalho
na corola dum lírio:
Jóia do tempo.

",18833
